project_sample_id;LEU (pmol min-1);GLA (pmol min-1);GLS  (pmol min-1);PHO (pmol min-1);XYL (pmol min-1);
BOB_05-712KM251580T3ueblich60cm;<DL;75.971;176.309;677.507;18.074;
BOB_06-712KM251580T3null30cm;<DL;129.859;491.789;923.274;78.223;
BOB_06-712KM251580T3null60cm;<DL;129.074;inv Enz;61.678;24.973;
BOB_09-712KM251580T3empfohlen60cm;<DL;44.482;108.128;396.622;44.376;
BOB_09-712KM251580T3ueblich30cm;<DL;inv Enz;75.384;699.936;77.194;
BOB_06-713SM251372T1null30cm;<DL;34.924;324.623;485.125;30.836;
BOB_09-713SM251372T1null60cm;<DL;<DL;82.858;654.252;14.288;
BOB_05-713SM251372T2null30cm;92.722;4.838;203.822;538.374;49.673;
BOB_06-713SM251372T2null60cm;<DL;28.178;104.812;566.298;20.838;
BOB_05-714km251148T1empfohlen30cm;<DL;41.688;178.131;403.748;44.867;
BOB_05-714KM251148T1ueblich60cm;149.338;60.947;228.211;468.831;53.295;
