id_lysi,date,NO3_N,NH4_N,SO4_S
10,2025-10-14,0.28,0.27,7.96
11,2025-10-14,NA,NA,NA
12,2025-10-14,NA,NA,NA
13,2025-10-14,NA,NA,NA
14,2025-10-14,1.39,0.17,5.1
15,2025-10-14,NA,NA,NA
16,2025-10-14,6.26,0.05,4.5
17,2025-10-14,1.49,0.23,23.74
18,2025-10-14,NA,NA,NA
19,2025-10-14,0.5,0.79,4.61
20,2025-10-14,0.28,1.34,2.99
21,2025-10-14,NA,NA,NA
22,2025-10-14,13.11,1.12,4.31
23,2025-10-14,0.35,0.33,7.59
24,2025-10-14,NA,NA,NA
25,2025-10-14,1.44,0,15.9
26,2025-10-14,0.09,0,6.72
27,2025-10-14,NA,NA,NA
28,2025-10-14,4.46,0,14.05
29,2025-10-14,0.33,0,10.88
30,2025-10-14,0.11,0.01,5.8
31,2025-10-14,0.05,0.02,44.68
32,2025-10-14,0.07,0,5.5
1,2025-10-21,NA,NA,NA
2,2025-10-21,0.77,1.24,5.28
3,2025-10-21,2.49,0.71,12.54
4,2025-10-21,0.26,0.39,2.15
5,2025-10-21,0.53,1.07,9.46
6,2025-10-21,0.16,1.88,4.36
7,2025-10-21,NA,NA,NA
8,2025-10-21,0.17,0.54,3.83
9,2025-10-21,NA,NA,NA
10,2025-10-21,0.11,0.47,6.59
11,2025-10-21,0.21,0.83,31.93
12,2025-10-21,0.31,0.35,9.11
13,2025-10-21,NA,NA,NA
14,2025-10-21,0.19,0.29,5.59
15,2025-10-21,0.24,0.56,13.08
16,2025-10-21,6.56,0.28,5.24
17,2025-10-21,0.57,1.42,23.63
18,2025-10-21,0.67,6.78,10.2
19,2025-10-21,0.37,2.28,7.57
20,2025-10-21,0.24,3.45,5.28
21,2025-10-21,0.42,2.96,10.05
22,2025-10-21,3.63,1.61,5.86
23,2025-10-21,0.18,0.85,7.75
24,2025-10-21,NA,NA,NA
25,2025-10-21,0.08,0.47,14.65
26,2025-10-21,0.17,0.33,8.34
27,2025-10-21,0.38,1.54,27.37
28,2025-10-21,0.47,0.49,14.7
29,2025-10-21,0.21,0.29,12.19
30,2025-10-21,0.11,0.29,16.65
31,2025-10-21,0.09,0.4,15.03
32,2025-10-21,0.04,0.49,11.6
1,2025-10-28,0.47,0.7,12.06
2,2025-10-28,0.11,0.42,4.6
3,2025-10-28,1.75,0.42,9.84
4,2025-10-28,0.37,0.31,2.45
5,2025-10-28,0.9,0.4,7
6,2025-10-28,0.27,0.35,3.53
7,2025-10-28,9.61,1.53,13.07
8,2025-10-28,0.58,0.47,5.37
9,2025-10-28,0.1,0.31,12.55
10,2025-10-28,0.23,0.3,0
11,2025-10-28,0.47,0.3,17.06
12,2025-10-28,0.17,0.29,3.37
13,2025-10-28,0.32,1.18,20.45
14,2025-10-28,0.17,0.32,4.79
15,2025-10-28,0.74,0.31,8.84
16,2025-10-28,1.34,0.33,6.22
17,2025-10-28,0.63,0.34,8.25
18,2025-10-28,0.18,1.99,5.74
19,2025-10-28,0.31,0.38,2.93
20,2025-10-28,0.07,1.14,3.81
21,2025-10-28,0.3,0.43,5.31
22,2025-10-28,0.43,0.75,4.23
23,2025-10-28,0.42,0.34,5.52
24,2025-10-28,46.53,1.77,25.11
25,2025-10-28,0.47,0.34,9.7
26,2025-10-28,0.17,0.29,5.91
27,2025-10-28,0.32,0.32,9.22
28,2025-10-28,0.23,0.48,9.7
29,2025-10-28,0.24,0.27,8.36
30,2025-10-28,0.19,0.34,5.36
31,2025-10-28,0.32,0.3,12.64
32,2025-10-28,0.2,0.29,5.96
1,2025-11-04,0,0.1,1.76
2,2025-11-04,0,0.18,0.6
3,2025-11-04,0.57,0.27,1.6
4,2025-11-04,0.01,0.11,0
5,2025-11-04,0.06,0.12,1.11
6,2025-11-04,0.1,0.75,0.54
7,2025-11-04,1.61,1.24,2.9
8,2025-11-04,0.01,0.48,1.44
9,2025-11-04,0,0.05,10.85
10,2025-11-04,0,0.05,1.84
11,2025-11-04,0.11,0.03,8.92
12,2025-11-04,0,0.02,1.15
13,2025-11-04,0.17,0.47,19
14,2025-11-04,0,0.06,1.99
15,2025-11-04,0,0.03,3.34
16,2025-11-04,0.04,0,1.02
17,2025-11-04,0.7,0.24,4.92
18,2025-11-04,0.11,1.2,2.41
19,2025-11-04,NA,NA,NA
20,2025-11-04,0.01,0.46,0.17
21,2025-11-04,0,0.55,0.74
22,2025-11-04,0.12,0.46,0.76
23,2025-11-04,0,0.09,1.06
24,2025-11-04,NA,NA,NA
25,2025-11-04,0,0.02,6.76
26,2025-11-04,0,0.04,0.65
27,2025-11-04,0,0.09,2.89
28,2025-11-04,0,0.04,4.56
29,2025-11-04,0,0.02,1.01
30,2025-11-04,0,0.04,1.01
31,2025-11-04,0,0.05,2.78
32,2025-11-04,0,0,1.09
1,2025-11-11,0.11,0.17,4.41
2,2025-11-11,0.11,0.37,0.51
3,2025-11-11,0.89,0.28,3.74
4,2025-11-11,0.22,0.11,1.02
5,2025-11-11,NA,NA,NA
6,2025-11-11,0.15,0.39,1.26
7,2025-11-11,0.26,0.44,1.81
8,2025-11-11,0.94,2.42,5.12
9,2025-11-11,0.15,0.05,7.99
10,2025-11-11,0.12,0.15,3.71
11,2025-11-11,0.37,0.05,10.42
12,2025-11-11,NA,NA,NA
13,2025-11-11,0.16,0.63,12.11
14,2025-11-11,0.09,0.04,3.44
15,2025-11-11,0.34,0.02,7.15
16,2025-11-11,0.14,0.05,3.65
17,2025-11-11,0.89,0.01,4.55
18,2025-11-11,0.19,1.76,1.9
19,2025-11-11,0.14,1,1.72
20,2025-11-11,0.06,0.64,0.59
21,2025-11-11,0.05,0.89,1.36
22,2025-11-11,0.16,0.56,0.61
23,2025-11-11,0.06,0.2,2.24
24,2025-11-11,NA,NA,NA
25,2025-11-11,0.07,0,5.24
26,2025-11-11,0.05,0,2.08
27,2025-11-11,0.05,0,3.36
28,2025-11-11,0.3,0,4.65
29,2025-11-11,0.06,0,2.1
30,2025-11-11,0.05,0,1.53
31,2025-11-11,0.05,0,2.41
32,2025-11-11,0.05,0,2.29
1,2025-11-14,NA,NA,NA
2,2025-11-14,0.03,0.38,1.38
3,2025-11-14,0.65,0.18,2.28
4,2025-11-14,NA,NA,NA
5,2025-11-14,0.04,0.14,1.75
6,2025-11-14,0.03,0.3,0.93
7,2025-11-14,NA,NA,NA
8,2025-11-14,0.02,0.16,1
9,2025-11-14,0.11,0,2.4
10,2025-11-14,0.01,0.02,1.02
11,2025-11-14,0.39,0,7.22
12,2025-11-14,0.01,0.01,1.35
13,2025-11-14,0.1,0.19,5.5
14,2025-11-14,0.02,0.08,1.29
15,2025-11-14,0.14,0,3.96
16,2025-11-14,0.01,0.08,1.16
17,2025-11-14,0.62,0.02,1.98
18,2025-11-14,0.09,1.87,1.82
19,2025-11-14,0.24,0.14,0.86
20,2025-11-14,0.04,0.55,0.76
21,2025-11-14,0.1,0.39,0.97
22,2025-11-14,0.06,0.53,0.88
23,2025-11-14,0.01,0.08,1.21
24,2025-11-14,13.54,0.98,11.4
25,2025-11-14,0.01,0,3.06
26,2025-11-14,0.01,0,1.21
27,2025-11-14,0.01,0,2.39
28,2025-11-14,0.34,0,2.69
29,2025-11-14,0.02,0,1.92
30,2025-11-14,0.01,0,1.2
31,2025-11-14,0.01,0.11,2.07
32,2025-11-14,0.01,0,1.38
1,2025-11-18,0.01,0.15,1.8
2,2025-11-18,0.02,0.22,1.16
3,2025-11-18,0.81,0.08,1.51
4,2025-11-18,0.09,0.1,0.64
5,2025-11-18,0.12,0.05,0.89
6,2025-11-18,0.05,0.28,0.93
7,2025-11-18,0.03,1.65,4.13
8,2025-11-18,0.02,0.18,1.67
9,2025-11-18,0.02,0,2.64
10,2025-11-18,0.02,0,1.42
11,2025-11-18,0.6,0,4.57
12,2025-11-18,0.06,0,1.88
13,2025-11-18,0.12,0,5.66
14,2025-11-18,0.02,0,1.98
15,2025-11-18,0.34,0,3.37
16,2025-11-18,0.02,0,1.4
17,2025-11-18,1.95,0,3.98
18,2025-11-18,0.12,1.29,1.56
19,2025-11-18,NA,NA,NA
20,2025-11-18,0.02,0.33,1
21,2025-11-18,0.36,0.45,1.82
22,2025-11-18,0.07,0.4,1.58
23,2025-11-18,0.15,0,1.02
24,2025-11-18,NA,NA,NA
25,2025-11-18,0.13,0.06,3.2
26,2025-11-18,0.01,0,1.85
27,2025-11-18,0.43,0,2.69
28,2025-11-18,0.27,0,3.18
29,2025-11-18,0.12,0,1.95
30,2025-11-18,0.01,0,1.35
