id_lysi,date,volume,PN
10,2025-05-06,NA,2025_PN09
11,2025-05-06,NA,2025_PN09
12,2025-05-06,NA,2025_PN09
13,2025-05-06,NA,2025_PN09
14,2025-05-06,NA,2025_PN09
15,2025-05-06,NA,2025_PN09
16,2025-05-06,NA,2025_PN09
17,2025-05-06,NA,2025_PN09
18,2025-05-06,NA,2025_PN09
19,2025-05-06,NA,2025_PN09
20,2025-05-06,NA,2025_PN09
21,2025-05-06,NA,2025_PN09
22,2025-05-06,NA,2025_PN09
23,2025-05-06,NA,2025_PN09
24,2025-05-06,NA,2025_PN09
25,2025-05-06,NA,2025_PN09
26,2025-05-06,NA,2025_PN09
27,2025-05-06,NA,2025_PN09
28,2025-05-06,NA,2025_PN09
29,2025-05-06,NA,2025_PN09
30,2025-05-06,NA,2025_PN09
31,2025-05-06,NA,2025_PN09
32,2025-05-06,NA,2025_PN09
1,2025-05-20,NA,2025_PN10
2,2025-05-20,NA,2025_PN10
3,2025-05-20,NA,2025_PN10
4,2025-05-20,NA,2025_PN10
5,2025-05-20,NA,2025_PN10
6,2025-05-20,NA,2025_PN10
7,2025-05-20,NA,2025_PN10
8,2025-05-20,NA,2025_PN10
9,2025-05-20,NA,2025_PN10
10,2025-05-20,NA,2025_PN10
11,2025-05-20,NA,2025_PN10
12,2025-05-20,NA,2025_PN10
13,2025-05-20,NA,2025_PN10
14,2025-05-20,NA,2025_PN10
15,2025-05-20,NA,2025_PN10
16,2025-05-20,NA,2025_PN10
17,2025-05-20,NA,2025_PN10
18,2025-05-20,NA,2025_PN10
19,2025-05-20,NA,2025_PN10
20,2025-05-20,NA,2025_PN10
21,2025-05-20,NA,2025_PN10
22,2025-05-20,NA,2025_PN10
23,2025-05-20,NA,2025_PN10
24,2025-05-20,NA,2025_PN10
25,2025-05-20,NA,2025_PN10
26,2025-05-20,NA,2025_PN10
27,2025-05-20,NA,2025_PN10
28,2025-05-20,NA,2025_PN10
29,2025-05-20,NA,2025_PN10
30,2025-05-20,NA,2025_PN10
31,2025-05-20,NA,2025_PN10
32,2025-05-20,NA,2025_PN10
1,2025-06-03,NA,2025_PN11
2,2025-06-03,NA,2025_PN11
3,2025-06-03,NA,2025_PN11
4,2025-06-03,NA,2025_PN11
5,2025-06-03,NA,2025_PN11
6,2025-06-03,NA,2025_PN11
7,2025-06-03,NA,2025_PN11
8,2025-06-03,NA,2025_PN11
9,2025-06-03,NA,2025_PN11
10,2025-06-03,NA,2025_PN11
11,2025-06-03,NA,2025_PN11
12,2025-06-03,NA,2025_PN11
13,2025-06-03,NA,2025_PN11
14,2025-06-03,NA,2025_PN11
15,2025-06-03,NA,2025_PN11
16,2025-06-03,NA,2025_PN11
17,2025-06-03,NA,2025_PN11
18,2025-06-03,NA,2025_PN11
19,2025-06-03,NA,2025_PN11
20,2025-06-03,NA,2025_PN11
21,2025-06-03,NA,2025_PN11
22,2025-06-03,NA,2025_PN11
23,2025-06-03,NA,2025_PN11
24,2025-06-03,NA,2025_PN11
25,2025-06-03,NA,2025_PN11
26,2025-06-03,NA,2025_PN11
27,2025-06-03,NA,2025_PN11
28,2025-06-03,NA,2025_PN11
29,2025-06-03,NA,2025_PN11
30,2025-06-03,NA,2025_PN11
31,2025-06-03,NA,2025_PN11
32,2025-06-03,NA,2025_PN11
1,2025-06-17,NA,2025_PN12
2,2025-06-17,NA,2025_PN12
3,2025-06-17,NA,2025_PN12
4,2025-06-17,NA,2025_PN12
5,2025-06-17,NA,2025_PN12
6,2025-06-17,NA,2025_PN12
7,2025-06-17,NA,2025_PN12
8,2025-06-17,NA,2025_PN12
9,2025-06-17,NA,2025_PN12
10,2025-06-17,NA,2025_PN12
11,2025-06-17,NA,2025_PN12
12,2025-06-17,NA,2025_PN12
13,2025-06-17,NA,2025_PN12
14,2025-06-17,NA,2025_PN12
15,2025-06-17,NA,2025_PN12
16,2025-06-17,NA,2025_PN12
17,2025-06-17,NA,2025_PN12
18,2025-06-17,NA,2025_PN12
19,2025-06-17,NA,2025_PN12
20,2025-06-17,NA,2025_PN12
21,2025-06-17,NA,2025_PN12
22,2025-06-17,NA,2025_PN12
23,2025-06-17,NA,2025_PN12
24,2025-06-17,NA,2025_PN12
25,2025-06-17,NA,2025_PN12
26,2025-06-17,NA,2025_PN12
27,2025-06-17,NA,2025_PN12
28,2025-06-17,NA,2025_PN12
29,2025-06-17,NA,2025_PN12
30,2025-06-17,NA,2025_PN12
31,2025-06-17,NA,2025_PN12
32,2025-06-17,NA,2025_PN12
1,2025-07-01,NA,2025_PN13
2,2025-07-01,NA,2025_PN13
3,2025-07-01,NA,2025_PN13
4,2025-07-01,NA,2025_PN13
5,2025-07-01,NA,2025_PN13
6,2025-07-01,NA,2025_PN13
7,2025-07-01,NA,2025_PN13
8,2025-07-01,NA,2025_PN13
9,2025-07-01,NA,2025_PN13
10,2025-07-01,NA,2025_PN13
11,2025-07-01,NA,2025_PN13
12,2025-07-01,NA,2025_PN13
13,2025-07-01,NA,2025_PN13
14,2025-07-01,NA,2025_PN13
15,2025-07-01,NA,2025_PN13
16,2025-07-01,NA,2025_PN13
17,2025-07-01,NA,2025_PN13
18,2025-07-01,NA,2025_PN13
19,2025-07-01,NA,2025_PN13
20,2025-07-01,NA,2025_PN13
21,2025-07-01,NA,2025_PN13
22,2025-07-01,NA,2025_PN13
23,2025-07-01,NA,2025_PN13
24,2025-07-01,NA,2025_PN13
25,2025-07-01,NA,2025_PN13
26,2025-07-01,NA,2025_PN13
27,2025-07-01,NA,2025_PN13
28,2025-07-01,NA,2025_PN13
29,2025-07-01,NA,2025_PN13
30,2025-07-01,NA,2025_PN13
31,2025-07-01,NA,2025_PN13
32,2025-07-01,NA,2025_PN13
1,2025-07-15,NA,2025_PN14
2,2025-07-15,NA,2025_PN14
3,2025-07-15,NA,2025_PN14
4,2025-07-15,NA,2025_PN14
5,2025-07-15,NA,2025_PN14
6,2025-07-15,NA,2025_PN14
7,2025-07-15,NA,2025_PN14
8,2025-07-15,NA,2025_PN14
9,2025-07-15,NA,2025_PN14
10,2025-07-15,NA,2025_PN14
11,2025-07-15,NA,2025_PN14
12,2025-07-15,NA,2025_PN14
13,2025-07-15,NA,2025_PN14
14,2025-07-15,NA,2025_PN14
15,2025-07-15,NA,2025_PN14
16,2025-07-15,NA,2025_PN14
17,2025-07-15,NA,2025_PN14
18,2025-07-15,NA,2025_PN14
19,2025-07-15,NA,2025_PN14
20,2025-07-15,NA,2025_PN14
21,2025-07-15,NA,2025_PN14
22,2025-07-15,NA,2025_PN14
23,2025-07-15,NA,2025_PN14
24,2025-07-15,NA,2025_PN14
25,2025-07-15,NA,2025_PN14
26,2025-07-15,NA,2025_PN14
27,2025-07-15,NA,2025_PN14
28,2025-07-15,NA,2025_PN14
29,2025-07-15,NA,2025_PN14
30,2025-07-15,NA,2025_PN14
31,2025-07-15,NA,2025_PN14
32,2025-07-15,NA,2025_PN14
1,2025-07-29,2.63,2025_PN15
2,2025-07-29,4.19,2025_PN15
3,2025-07-29,3.74,2025_PN15
4,2025-07-29,0.75,2025_PN15
5,2025-07-29,3.15,2025_PN15
6,2025-07-29,1.39,2025_PN15
7,2025-07-29,5.33,2025_PN15
8,2025-07-29,2,2025_PN15
9,2025-07-29,4.35,2025_PN15
10,2025-07-29,1.63,2025_PN15
11,2025-07-29,1.85,2025_PN15
12,2025-07-29,0.71,2025_PN15
13,2025-07-29,2.2,2025_PN15
14,2025-07-29,0.27,2025_PN15
15,2025-07-29,2.39,2025_PN15
16,2025-07-29,NA,2025_PN15
17,2025-07-29,2.69,2025_PN15
18,2025-07-29,7.41,2025_PN15
19,2025-07-29,2.59,2025_PN15
20,2025-07-29,NA,2025_PN15
21,2025-07-29,3.71,2025_PN15
22,2025-07-29,NA,2025_PN15
23,2025-07-29,3.85,2025_PN15
24,2025-07-29,0.56,2025_PN15
25,2025-07-29,2.1,2025_PN15
26,2025-07-29,NA,2025_PN15
27,2025-07-29,4,2025_PN15
28,2025-07-29,NA,2025_PN15
29,2025-07-29,NA,2025_PN15
30,2025-07-29,NA,2025_PN15
31,2025-07-29,1.81,2025_PN15
32,2025-07-29,NA,2025_PN15
1,2025-08-12,3.07,2025_PN16
2,2025-08-12,8.7,2025_PN16
3,2025-08-12,2.4,2025_PN16
4,2025-08-12,9.73,2025_PN16
5,2025-08-12,3.75,2025_PN16
6,2025-08-12,8.78,2025_PN16
7,2025-08-12,3.66,2025_PN16
8,2025-08-12,9.35,2025_PN16
9,2025-08-12,2.92,2025_PN16
10,2025-08-12,8.89,2025_PN16
11,2025-08-12,1.21,2025_PN16
12,2025-08-12,8.55,2025_PN16
13,2025-08-12,2.56,2025_PN16
14,2025-08-12,11.03,2025_PN16
15,2025-08-12,6.16,2025_PN16
16,2025-08-12,3.25,2025_PN16
17,2025-08-12,3.18,2025_PN16
18,2025-08-12,8.22,2025_PN16
19,2025-08-12,2.81,2025_PN16
20,2025-08-12,6.15,2025_PN16
21,2025-08-12,3.29,2025_PN16
22,2025-08-12,7.09,2025_PN16
23,2025-08-12,3.76,2025_PN16
24,2025-08-12,10.53,2025_PN16
25,2025-08-12,2.91,2025_PN16
26,2025-08-12,8.51,2025_PN16
27,2025-08-12,3.57,2025_PN16
28,2025-08-12,7.72,2025_PN16
29,2025-08-12,0.44,2025_PN16
30,2025-08-12,7.19,2025_PN16
31,2025-08-12,4.93,2025_PN16
32,2025-08-12,6.8,2025_PN16
1,2025-08-26,0.48,2025_PN17
2,2025-08-26,3.85,2025_PN17
3,2025-08-26,1.89,2025_PN17
4,2025-08-26,3.81,2025_PN17
5,2025-08-26,1.92,2025_PN17
6,2025-08-26,2.03,2025_PN17
7,2025-08-26,NA,2025_PN17
8,2025-08-26,3.35,2025_PN17
9,2025-08-26,1.94,2025_PN17
10,2025-08-26,3.64,2025_PN17
11,2025-08-26,3.25,2025_PN17
12,2025-08-26,0.13,2025_PN17
13,2025-08-26,1.68,2025_PN17
14,2025-08-26,3.39,2025_PN17
15,2025-08-26,2.58,2025_PN17
16,2025-08-26,3.62,2025_PN17
17,2025-08-26,0.89,2025_PN17
18,2025-08-26,3.62,2025_PN17
19,2025-08-26,1.6,2025_PN17
20,2025-08-26,2.92,2025_PN17
21,2025-08-26,1.77,2025_PN17
22,2025-08-26,1.81,2025_PN17
23,2025-08-26,1.48,2025_PN17
24,2025-08-26,3.53,2025_PN17
25,2025-08-26,1.47,2025_PN17
26,2025-08-26,2.96,2025_PN17
27,2025-08-26,0.19,2025_PN17
28,2025-08-26,2.62,2025_PN17
29,2025-08-26,NA,2025_PN17
30,2025-08-26,3.38,2025_PN17
31,2025-08-26,2.66,2025_PN17
32,2025-08-26,2.4,2025_PN17
1,2025-09-09,4.23,2025_PN18
2,2025-09-09,8.64,2025_PN18
3,2025-09-09,7.96,2025_PN18
