id_lysi,date,N2O_flux,CO2_flux,CH4_flux,r2_N2O,r2_CO2,r2_CH4,chamber_size,nr_bags
22,2025-04-23,2.8997525956095947e-5,25.822205828876,-0.0038095934969185,0.07243097231141755,0.9933937128637972,0.938976675936662,small,4
23,2025-04-23,-3.7685125725559e-4,21.881723736405363,-0.00191024113008955,0.8141252831506727,0.8290697973766313,0.8250724780006576,small,4
24,2025-04-23,-4.09237370211775e-4,17.561214279864352,-0.00175498952356862,0.8144993384897374,0.911597613507705,0.44456633035012416,small,4
25,2025-04-23,-8.521822736495668e-5,38.91898576174517,-0.00425475835414878,0.46925433782634,0.8307127697473786,0.7575693182592214,small,4
26,2025-04-23,-2.98807402610885e-4,27.9223612399012,-0.00218874616132304,0.9761290951025204,0.9446562813883566,0.645062040414496,small,4
27,2025-04-23,-7.550274135675e-4,49.2194656154417,-0.00378439110952629,0.845066728628959,0.9973601520765568,0.9424186455850404,small,4
28,2025-04-23,1.5666074566069e-4,18.2262515264233,-0.00233678641898679,0.270103047735145,0.896941408338405,0.964608100586522,small,4
29,2025-04-23,-6.678877589955e-4,46.674475646104895,-0.00458909798915362,0.9643712222644688,0.9963298274608114,0.9940509337645844,small,4
30,2025-04-23,1.034808610558564e-5,22.899896445398223,-0.00366753725682392,0.6065978508959778,0.7924241973987445,0.790388437735446,small,4
31,2025-04-23,4.7521741346747494e-5,16.28307635215217,-2.3722242881518728e-4,0.39972477402760126,0.6218241843474266,0.33347799786368465,small,4
32,2025-04-23,-9.064205279503812e-5,13.72991947456349,-0.00158319199795325,0.06602118973556659,0.8343339722895993,0.6961765079895945,small,4
1,2025-04-30,-0.00155052319745386,35.84756683325935,-0.0159181115189159,0.90530044318355,0.971889510366261,0.9913178283684688,small,4
2,2025-04-30,-5.482363609377601e-4,26.99725963558065,-0.01296989481326785,0.5218728424941905,0.984535410576248,0.7084923993220745,small,4
3,2025-04-30,-1.5285772096812998e-4,43.90263347535745,-0.00457921307048941,0.5062536091899966,0.656366442352724,0.5298540838949997,small,4
4,2025-04-30,-4.3308904817641e-4,26.44230433132205,-0.00228473057704187,0.68041572782812,0.543959770690489,0.5971756002435545,small,4
5,2025-04-30,-1.8964283151366e-4,46.5510789396651,-0.008312556536505,0.1968094006966965,0.7096396306108714,0.675390836873509,small,4
